	Ca009STPN_Ca-009-ST_nasal_case-anterior	900223_Ca-101-ID_nasal_case-anterior	Ca010EBPN_Ca-010-EB_nasal_case-anterior	900462_Ca-146-SM_nasal_case-anterior	900053_Ca-011-LQ_nasal_case-anterior	900228_Ca-103-BT_nasal_case-anterior	900059_Ca-013-NN_nasal_case-anterior	900231_Ca-104-SB_nasal_case-anterior	900234_Ca-105-LX_nasal_case-anterior	900062_Ca-014-LB_nasal_case-anterior	900237_Ca-106-NM_nasal_case-anterior	900065_Ca-015-AM_nasal_case-anterior	900240_Ca-107-BM_nasal_case-anterior	900069_Ca-016-YT_nasal_case-anterior	900257_Ca-108-EJ_nasal_case-anterior	900072_Ca-017-OM_nasal_case-anterior	900484_Ca-153-MN_nasal_case-anterior	900075_Ca-018-AS_nasal_case-anterior	900080_Ca-019-EC_nasal_case-anterior	900275_Ca-110-LN_nasal_case-anterior	900083_Ca-020-AZ_nasal_case-anterior	900278_Ca-111-IN_nasal_case-anterior	900086_Ca-021-IM_nasal_case-anterior	900301_Ca-112-AM_nasal_case-anterior	900295_Ca-113-MN_nasal_case-anterior	900089_Ca-022-MS_nasal_case-anterior	900298_Ca-114-QT_nasal_case-anterior	900092_Ca-023-EJ_nasal_case-anterior	900304_Ca-115-OM_nasal_case-anterior	900095_Ca-024-ZM_nasal_case-anterior	900307_Ca-116-AN_nasal_case-anterior	900098_Ca-025-AC_nasal_case-anterior	900487_Ca-154-OS_nasal_case-anterior	900310_Ca-117-SM_nasal_case-anterior	900101_Ca-026-KM_nasal_case-anterior	900333_Ca-118-AS_nasal_case-anterior	900104_Ca-027-IM_nasal_case-anterior	900330_Ca-119-AM_nasal_case-anterior	900109_Ca-029-TD_nasal_case-anterior	900339_Ca-120-ST_nasal_case-anterior	900112_Ca-030-LM_nasal_case-anterior	900115_Ca-031-AN_nasal_case-anterior	900336_Ca-121-BT_nasal_case-anterior	900118_Ca-032-LN_nasal_case-anterior	900342_Ca-122-UK_nasal_case-anterior	900121_Ca-033-UD_nasal_case-anterior	900124_Ca-034-LS_nasal_case-anterior	900469_Ca-148-AL_nasal_case-anterior	900478_Ca-151-QR_nasal_case-anterior	900404_Ca-126-KB_nasal_case-anterior	900131_Ca-035-AR_nasal_case-anterior	900134_Ca-036-TK_nasal_case-anterior	900407_Ca-127-OM_nasal_case-anterior	900149_Ca-037-HM_nasal_case-anterior	900410_Ca-128-SN_nasal_case-anterior	900559_Ca-042-AM_nasal_case-anterior	900416_Ca-129-AJ_nasal_case-anterior	900413_Ca-130-PM_nasal_case-anterior	900556_Ca-043-SS_nasal_case-anterior	900419_Ca-131-PM_nasal_case-anterior	900580_Ca-045-HN_nasal_case-anterior	900422_Ca-132-LD_nasal_case-anterior	900571_Ca-046-MT_nasal_case-anterior	900425_Ca-133-LT_nasal_case-anterior	900574_Ca-047-MD_nasal_case-anterior	900106_Ca-028-PN_nasal_case-anterior	900430_Ca-135-NS_nasal_case-anterior	900432_Ca-136-OM_nasal_case-anterior	900428_Ca-134-IT_nasal_case-anterior	900577_Ca-047-MD_nasal_case-anterior	900583_Ca-049-LM_nasal_case-anterior	900589_Ca-050-MM_nasal_case-anterior	900438_Ca-137-TM_nasal_case-anterior	900586_Ca-051-AM_nasal_case-anterior	900493_Ca-155-LS_nasal_case-anterior	900592_Ca-052-LM_nasal_case-anterior	900435_Ca-138-SM_nasal_case-anterior	900595_Ca-053-NN_nasal_case-anterior	900441_Ca-139-OS_nasal_case-anterior	900612_Ca-054-RN_nasal_case-anterior	900444_Ca-140-EM_nasal_case-anterior	900623_Ca-055-LN_nasal_case-anterior	900447_Ca-141-TC_nasal_case-anterior	900450_Ca-142-AM_nasal_case-anterior	900626_Ca-056-DH_nasal_case-anterior	900453_Ca-143-ST_nasal_case-anterior	900456_Ca-144-HN_nasal_case-anterior	900459_Ca-145-LM_nasal_case-anterior	900466_Ca-147-LJ_nasal_case-anterior	900507_Ca-160-LB_nasal_case-anterior	Ca008HNPN_Ca-008-HN_nasal_case-anterior	900496_Ca-156-MV_nasal_case-anterior	Ca007NKPN_Ca-007-NK_nasal_case-anterior	900475_Ca-150-ZS_nasal_case-anterior	900502_Ca-158-LC_nasal_case-anterior	900505_Ca-159-AS_nasal_case-anterior	900472_Ca-149-LM_nasal_case-anterior	900510_Ca-161-OM_nasal_case-anterior	900126_Ca-009-ZN_nasal_case-anterior	900499_Ca-157-LM_nasal_case-anterior	900396_Ca-123-PG_nasal_case-anterior	9003962_Ca-123-PG_nasal_case-anterior	900399_Ca-125-IM_nasal_case-anterior	9003992_Ca-125-IM_nasal_case-anterior	900402_Ca-124-AB_nasal_case-anterior	9004022_Ca-124-AB_nasal_case-anterior	Ca006ONPN_Ca-006-ON_nasal_case-anterior	Ca006ONPN2_Ca-006-ON_nasal_case-anterior	Unknown
900236_Ca-106-NM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00561635576	0.1290108731	0	0	0	0	0	0	0.004740974557	0.05141837965	0	0	0	0	0.02392707383	0	0	0	0	0	0	0	0	0.05954312695	0	0	0	0	0	0	0.03158878338	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01720933882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008077399778	0	0	0	0	0	0.04881379627	0.089737863	0	0	0	0	0	0	0.1299498735	0	0.3369249123	0	0.03884141105	0	0	0.02459983803	0
900064_Ca-015-AM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900239_Ca-107-BM_skin_case-nonlesional	5.23E-07	0	6.08E-07	0.007755947392	0.01174192392	9.88E-08	8.49E-07	0	0.02670907663	0.03684423844	6.11E-07	0.02505821975	0.01254471885	0.01280840584	0	0.01835309254	2.23E-07	0.01375196235	0.03943828038	2.04E-06	0.02311876263	0	0	0	0.01617829835	0.01489817202	0.01653573383	0.01717339792	2.21E-06	0.008416094049	0	0	1.84E-06	2.37E-06	1.95E-06	2.11E-06	0	0	0	3.96E-07	0.0216221575	0.02896957072	0	0.03847204806	0	2.11E-06	0.004364662593	6.24E-07	0.02960067078	0.04033786076	1.85E-06	0.0001012904824	0.03376302517	0.02230370242	1.93E-06	1.15E-06	0.0184383911	1.07E-07	4.64E-07	0	1.51E-06	1.49E-06	2.70E-06	0	6.92E-07	0.03980449662	1.45E-06	1.39E-06	0.03496474541	0.01969740662	0.0241581963	0.02057011847	0.02719228938	3.23E-07	0	0.02300591024	2.66E-06	0	2.31E-07	0.01954792809	0	2.40E-06	0	0	0	0.04245905197	0.01825188311	0.02983298432	0.04273258078	0.0383414317	0.005258970676	0	0	0	0	0.02084135396	0.01847896308	0.02210373155	2.43E-06	1.73E-06	2.49E-06	0	0	0	0	0.01341268706	0	0	0
900068_Ca-016-YT_skin_case-nonlesional	0	0	0	0	0	0	0	0	0.01764846451	0.04059924923	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05114745343	0	0	0	0	0	0	0.1220604235	0.145699612	0	0	0	0	0.02217753256	0	0	0	0	0.04260738695	0	0	0	0.1701319828	0	0	0	0	0	0	0.02663427226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05325747306	0.006592704983	0	0.04418152967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038853047	0	0	0	0	0.218408868	0
900256_Ca-108-EJ_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4520312715	0	0	0	0	0	0	0.04175260117	0.0516942774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04481347328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07809573171	0.0254950547	0	0	0	0	0.02590262309	0	0	0	0	0	0	0	0.07721620613	0	0.1752821968	0	0.0277165642	0	0	0	0
900071_Ca-017-OM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3758048369	0	0	0	0	0	0	0.03279949141	0.03563359682	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01528848136	0	0	0	0	0	0	0.02313668469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2065036592	0.04949279961	0	0.0264067244	0	0	0	0	0	0.0700804269	0	0	0	0	0	0	0	0	0	0	0	0.1279986936	0	0	0.03685460516	0
900477_Ca-151-QR_skin_case-nonlesional	0	0	0	0.0606616826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3589616312	0	0	0	0	0	0	0.363436328	0.0274774344	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02460294638	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006743213209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07004858369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03158963914	0	0	0	0.05647854142	0	0	0	0
900483_Ca-153-MN_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2542758685	0	0	0	0	0	0	0	0.1231488225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2232641523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258967734	0	0	0	0	0	0	0	0	0.04855087742	0	0	0	0	0	0	0	0.03354160946	0	0	0	0.05825093583	0	0	0	0
900074_Ca-018-AS_skin_case-nonlesional	0	0	0.007859536059	0.001261781866	0.007247458054	6.80E-05	0.00799295506	0.006368358714	0.00207356853	0.01490080871	0	0.003812331528	0	0.01044521941	0.006612125928	0	0.007957677372	0.01214622163	0	0.00115010081	0.01787241721	0	0	0	0.003167099462	0.005855057302	0.002525907303	0.02982158025	0.008223502414	0.01869105859	0	0.003259966911	0	0.004024309891	0.002625448891	0	0.005367631268	0.001108855247	0.0009178922058	0.005298030384	0	0.004369147249	0.00133957136	0	0	0	0	0	0	0.00300866987	0	0.02252893726	0.002804735045	0.02273112035	0.002783247825	0	0	0.002958479161	0.007011175189	0.5	0.01035858253	0.03110902582	0	0	0.005184267554	0	0.02977999292	0	0	0.02207445907	0.0145018956	0	0.01689609882	0	0	0	0	0	0.02252049352	0	0.002153084343	0	0	0	0	0.02388605956	0.002406377137	0.002680476637	0	0.001670905954	0.002136754461	0	0	0	0	0.0080165005	0	0	0.005215140977	0.03121994537	0	0	0	0	0	0	0	0	0
900079_Ca-019-EC_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4030678655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02073276023	0	0	0	0	0	0	0	0.3826636158	0	0.1935357585	0	0	0	0	0	0
900262_Ca-110-LN_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0.07509111594	0	0	0	0	0	0	0	0	0	0	0	0	0.1450461657	0	0	0	0	0	0	0.04223063559	0.04311289522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04007707067	0	0	0	0.02792765227	0	0	0	0	0	0	0	0	0	0	0	0	0.04591211763	0	0	0	0	0.02528863274	0	0	0.03339093105	0	0	0	0.038534318	0	0	0	0	0	0	0.002641449012	0	0.05172055785	0.02404555437	0	0	0	0	0	0	0	0.2454232329	0.07535403246	0	0	0	0	0	0	0.04176796413	0	0.001512248239	0	0	0	0	0.0409234263	0
900082_Ca-020-AZ_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0.4295741625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5704258375
900277_Ca-111-IN_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2594198679	0	0	0	0	0	0	0.04794724534	0.1196996251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08030549689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4926277648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900085_Ca-021-IM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0.09601299342	0	0	0	0	0	0	0	0	0	0	0	0	0.2036105253	0	0	0	0	0.01501129957	0	0	0.007926098076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1751508325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002200164834	0	0.02175157496	0	0	0	0	0	0	0	0	0	0.0973484407	0	0	0	0	0	0.0593064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1314877334	0.02364691952	0	0.04951209426	0	0.06022564152	0	0	0.05680928195	0
900300_Ca-112-AM_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0.7724272157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2275727843	0	0	0	0
900259_Ca-109-BJ_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002536374406	0	0.04968615743	0	0	0	0	0	0	0	0	0	0	0.04910550521	0	0	0	0.03194171459	0	0	0	0	0	0	0	0.04035810095	0.04801818648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2035608924	0	0	0	0	0.09546992799	0	0	0	0.04434608442	0	0	0	0	0.01398219219	0	0	0	0	0	0	0	0	0.05552291522	0	0	0.007283678742	0	0	0	0	0	0	0.01675502738	0.04353484068	0.01452461525	0	0	0.1728538195	0	0.0883075196	0	0	0	0.02221244756	0	0	0	0	0	0	0	0	0
900294_Ca-113-MN_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900088_Ca-022-MS_skin_case-nonlesional	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2602775483	0	0	0	0	0	0	0.0237716217	0.08827915217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005916247536	0	0	0	0	0	0	0	0	0	0	0	0	0.005991921412	0	0	0	0	0	0	0	0.01177573222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09116084617	0	0	0	0	0	0	0.03282160353	0	0	0	0	0	0	0.1917393844	0	0.1091908792	0	0.02089976316	0	0	0.1581753002	0
