	WHB11423	WHB11426	WHB11407	WHB11726	WHB11421	WHB11706	WHB11735	WHB11425	MBT520	WHB11730	WHB11382	WHB11465	WHB11749	WHB11408	WHB11689	WHB11690	WHB11684	WHB11688	WHB11683	WHB11691	WHB11694	WHB11676	WHB11675	WHB11747	WHB11463	WHB11462	WHB11673	WHB11674	WHB11692	WHB11695	WHB11697	WHB11409	WHB11696	WHB11693	WHB11682	WHB11680	WHB11681	WHB11677	WHB11679	WHB11678	WHB11721	WHB11790	MBT462	WHB11387	WHB11385	WHB11389	WHB11390	WHB11386	WHB11388	WHB11428	WHB11758	WHB11461	WHB11460	WHB11457	WHB11456	WHB11458	WHB11459	WHB11410	WHB11411	WHB11380	WHB11381	WHB11788	WHB11384	WHB11379	WHB11383	WHB11427	WHB11424	WHB11422	WHB11722	WHB11725	WHB11724	WHB11723	WHB11698	WHB11439	WHB11751	WHB11729	WHB11727	WHB11737	WHB11738	WHB11736	WHB11728	WHB11705	WHB11704	WHB11709	WHB11707	WHB11708	WHB11393	WHB11395	WHB11392	MBT307	WHB11391	WHB11394	WHB11400	WHB11794	WHB11764	WHB11710	WHB11711	WHB11712	WHB11714	WHB11713	WHB11720	WHB11781	MBT305	WHB11759	MBT312	WHB11406	WHB11405	WHB11403	WHB11404	WHB11402	WHB11401	WHB11452	WHB11453	WHB11454	WHB11455	WHB11432	WHB11451	WHB11433	WHB11429	WHB11430	WHB11431	WHB11450	MBT512	WHB11754	WHB11755	MBT460	WHB11746	WHB11745	WHB11756	WHB11753	WHB11757	WHB11760	WHB11791	WHB11762	WHB11761	MBT474	MBT459	WHB11803	WHB11799	WHB11800	WHB11802	WHB11798	WHB11801	WHB11436	WHB11437	WHB11420	WHB11435	WHB11434	WHB11418	WHB11701	WHB11438	WHB11739	WHB11742	WHB11743	WHB11744	WHB11740	WHB11741	WHB11396	WHB11398	WHB11417	WHB11397	WHB11399	WHB11416	WHB11771	WHB11786	WHB11774	MBT310	WHB11773	WHB11769	WHB11772	MBT463	WHB11770	WHB11732	WHB11466	WHB11719	WHB11733	WHB11734	MBT304	WHB11731	WHB11464	WHB11787	WHB11789	WHB11685	MBT276	MBT278	MBT275	MBT274	MBT277	MBT279	MBT306	MBT475	MBT281	MBT526	MBT464	MBT283	MBT298	MBT300	MBT301	MBT302	MBT299	MBT303	WHB11792	MBT295	MBT293	MBT294	MBT292	MBT296	MBT297	MBT282	MBT285	MBT280	WHB11795	MBT284	WHB11718	WHB11717	WHB11703	WHB11716	WHB11702	MBT513	WHB11715	MBT425	MBT424	MBT422	MBT426	MBT421	MBT423	WHB11775	WHB11777	WHB11776	WHB11779	WHB11778	MBT521	WHB11780	WHB11748	WHB11699	WHB11750	MBT308	WHB11793	MBT309	WHB11797	WHB11796	WHB11785	MBT272	MBT273	MBT469	WHB11804	WHB11807	MBT517	MBT503	WHB11805	WHB11687	WHB11806	WHB11700	WHB11782	WHB11686	WHB11784	MBT502	MBT479	MBT484	MBT481	MBT480	MBT482	MBT483	MBT418	MBT419	MBT420	MBT415	MBT511	MBT416	MBT501	MBT523	MBT454	MBT417	MBT476	MBT289	MBT288	MBT287	MBT286	MBT291	MBT290	MBT515	WHB11766	MBT473	MBT490	MBT488	MBT489	MBT487	MBT486	MBT485	MBT461	WHB11767	MBT457	WHB11765	MBT527	MBT507	MBT498	MBT509	MBT508	MBT505	MBT506	MBT510	MBT414	MBT413	MBT311	MBT471	MBT496	MBT497	MBT494	MBT495	MBT492	MBT313	MBT458	MBT472	MBT500	MBT504	MBT427	MBT499	MBT455	MBT456	MBT522	MBT518	MBT519	WHB11763	MBT525	MBT524	MBT514	MBT516	WHB11752	MBT470	MBT468	MBT467	MBT465	MBT466	WHB11768	WHB11783
 s__Staphylococcus cohnii	0	3.0	4.0	5.0	4.0	5.0	1.0	2.0	8.0	0	1.0	0	8.0	8.0	11.0	3.0	7.0	2.0	0	2.0	7.0	1.0	1.0	3.0	0	1.0	3.0	0	1.0	6.0	4.0	5.0	0	19.0	5.0	7.0	6.0	0	2.0	3.0	0	0	0	1.0	5.0	1.0	1.0	2.0	4.0	3.0	2.0	0	0	3.0	1.0	0	1.0	8.0	11.0	1.0	0	0	3.0	0	14.0	2.0	6.0	4.0	0	11.0	1.0	1.0	1.0	0	2.0	2.0	4.0	3.0	1.0	1.0	4.0	1.0	1.0	8.0	0	3.0	10.0	4.0	9.0	1.0	1.0	0	4.0	0	5.0	8.0	1.0	2.0	0	1.0	0	7.0	1.0	1.0	0	3.0	2.0	3.0	1.0	2.0	1.0	0	1.0	0	2.0	1.0	1.0	5.0	7.0	1.0	14.0	1.0	6.0	5.0	8.0	0	3.0	5.0	0	0	1.0	1.0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	3.0	0	2.0	8.0	10.0	3.0	1.0	0	5.0	5.0	2.0	0	0	0	3.0	6.0	1.0	19.0	4.0	0	0	3.0	0	0	0	0	1.0	1.0	9.0	3.0	1.0	0	1.0	0	7.0	2.0	1.0	1.0	4.0	0	0	0	1.0	0	4.0	1.0	0	1.0	1.0	3.0	3.0	15.0	1.0	9.0	1.0	4.0	5.0	0	3.0	1.0	0	1.0	0	1.0	0	1.0	4.0	5.0	3.0	2.0	3.0	1.0	0	0	6.0	2.0	2.0	0	1.0	0	2.0	2.0	4.0	0	0	0	0	3.0	0	1.0	2.0	3.0	0	3.0	0	2.0	1.0	1.0	1.0	0	3.0	4.0	1.0	1.0	0	1.0	5.0	2.0	0	1.0	1.0	0	2.0	0	6.0	0	0	1.0	0	1.0	2.0	1.0	5.0	20.0	1.0	0	1.0	0	2.0	5.0	0	0	0	0	0	0	1.0	2.0	1.0	4.0	0	0	0	1.0	0	1.0	0	0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	0	8.0	5.0	8.0	0	1.0	0	1.0	0	0	0	0	0	4.0	0	1.0	0	4.0	1.0	0	3.0	3.0	0	2.0	0	4.0	0	3.0	0	1.0	3.0	0	3.0	0	2.0	1.0
 s__Staphylococcus condimenti	0	1.0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	1.0	2.0	1.0	0	0	1.0	2.0	0	1.0	2.0	0	0	1.0	0	1.0	0	4.0	0	1.0	0	2.0	1.0	1.0	3.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	4.0	0	1.0	0	0	0	0	0	0	0	0	0	9.0	2.0	0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	4.0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	5.0	0	0	2.0	0	4.0	3.0	2.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	1.0	0	18.0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	1.0	0	5.0	1.0	0	0	0	0	0	0	4.0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	2.0	1.0	3.0	0	1.0	2.0	0	0	0	0	0	0	5.0	1.0	0	0	0	1.0	3.0	0	0	0	0	1.0	1.0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	2.0	0	0	0	1.0	0	1.0	0	3.0	0	4.0	0	0	0	2.0	0	0	1.0	0	0	0	0	1.0	0	0	4.0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	1.0	0	0	2.0	3.0	0	0	0	0	0	0	1.0	1.0	0	5.0	1.0	0	0	1.0	0	0	2.0	0	1.0	0	0	1.0	1.0	0	0	2.0	1.0	0	2.0	0	0	0
 s__Staphylococcus croceilyticus	0	1.0	1.0	0	1.0	2.0	0	0	3.0	0	0	0	2.0	0	7.0	0	2.0	0	0	1.0	1.0	1.0	0	0	0	0	1.0	1.0	1.0	3.0	1.0	0	0	0	6.0	0	0	0	0	16.0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	14.0	0	0	0	0	0	18.0	1.0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	2.0	0	0	2.0	1.0	0	2.0	1.0	4.0	2.0	0	0	4.0	0	0	0	1.0	0	0	0	0	0	0	28.0	1.0	2.0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	1.0	7.0	7.0	1.0	35.0	0	0	1.0	2.0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	1.0	1.0	0	3.0	0	1.0	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	3.0	3.0	0	2.0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	3.0	0	1.0	0	2.0	2.0	0	0	1.0	0	3.0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	3.0	0	3.0	0	0	5.0	1.0	0	0	1.0	0	1.0	0	0	0	5.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	16.0	0	0	1.0	5.0	1.0	1.0	7.0	1.0	1.0	0	0	1.0	0	2.0	0	5.0	0	0	1.0	0	1.0	0
 s__Staphylococcus devriesei	1.0	0	1.0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	4.0	0	0	0	0	0	2.0	0	1.0	0	0	0	1.0	0	1.0	1.0	0	1.0	0	2.0	1.0	1.0	4.0	0	0	8.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	9.0	0	0	0	0	0	12.0	0	1.0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	4.0	0	1.0	0	2.0	0	0	0	1.0	1.0	0	2.0	0	0	0	12.0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	0	3.0	7.0	1.0	77.0	0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	1.0	2.0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	1.0	0	1.0	0	3.0	1.0	4.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	3.0	3.0	0	1.0	2.0	1.0	0	0	1.0	1.0	1.0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	5.0	0	1.0	0	2.0	4.0	0	0	1.0	1.0	0	0	0	0	0	8.0	0	0	1.0	1.0	0	0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	8.0	0	1.0	0	4.0	0	0	6.0	4.0	1.0	0	1.0	0	2.0	0	0	0	1.0	0	5.0	0	1.0	0
 s__Staphylococcus edaphicus	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 s__Staphylococcus epidermidis	16.0	136.0	62.0	132.0	28.0	682.0	46.0	84.0	223.0	20.0	28.0	22.0	29.0	26.0	3214.0	17.0	270.0	120.0	116.0	118.0	1064.0	61.0	189.0	20.0	76.0	48.0	576.0	187.0	73.0	1861.0	30.0	33.0	110.0	69.0	1325.0	567.0	2176.0	62.0	221.0	85.0	2.0	48.0	84.0	48.0	295.0	49.0	13.0	27.0	39.0	75.0	103.0	26.0	61.0	18.0	22.0	5.0	49.0	39.0	70.0	29.0	8.0	25.0	81.0	14.0	103.0	93.0	36.0	26.0	3.0	113.0	46.0	21.0	13.0	3.0	118.0	264.0	98.0	176.0	202.0	44.0	80.0	883.0	42.0	174.0	67.0	169.0	207.0	113.0	58.0	4.0	26.0	76.0	33.0	3.0	11.0	1044.0	27.0	313.0	14.0	16.0	13.0	86.0	51.0	36.0	9.0	19.0	88.0	59.0	69.0	51.0	13.0	6.0	58.0	66.0	12.0	18.0	41.0	72.0	252.0	43.0	119.0	31.0	27.0	543.0	1107.0	167.0	97.0	61.0	38.0	40.0	41.0	36.0	29.0	23.0	24.0	93.0	96.0	55.0	16.0	22.0	26.0	27.0	41.0	23.0	21.0	3.0	20.0	14.0	30.0	13.0	15.0	59.0	52.0	55.0	51.0	15.0	27.0	16.0	22.0	29.0	16.0	53.0	53.0	16.0	8.0	68.0	28.0	14.0	33.0	30.0	65.0	44.0	26.0	100.0	64.0	26.0	48.0	20.0	41.0	30.0	13.0	7.0	18.0	110.0	28.0	20.0	35.0	46.0	62.0	39.0	60.0	90.0	28.0	10.0	18.0	35.0	15.0	11.0	16.0	38.0	77.0	37.0	13.0	23.0	3.0	12.0	11.0	3.0	4.0	6.0	9.0	52.0	9.0	63.0	25.0	42.0	16.0	92.0	18.0	15.0	148.0	273.0	24.0	9.0	14.0	229.0	62.0	21.0	25.0	20.0	20.0	275.0	5.0	23.0	9.0	48.0	1.0	36.0	10.0	31.0	14.0	39.0	20.0	24.0	322.0	81.0	24.0	60.0	43.0	35.0	10.0	24.0	36.0	43.0	20.0	66.0	75.0	20.0	34.0	15.0	16.0	20.0	22.0	44.0	34.0	67.0	13.0	59.0	20.0	22.0	47.0	17.0	17.0	95.0	34.0	13.0	61.0	22.0	2.0	6.0	24.0	21.0	46.0	28.0	7.0	20.0	8.0	13.0	17.0	300.0	0	2.0	38.0	42.0	11.0	5.0	206.0	87.0	43.0	14.0	50.0	60.0	44.0	9.0	9.0	96.0	39.0	45.0	51.0	37.0	22.0	7.0	37.0	24.0	17.0	15.0	74.0	83.0	17.0	204.0	143.0	131.0	11.0	34.0	31.0	25.0	15.0	10.0	73.0	86.0	2.0	59.0	3.0	127.0	54.0
 s__Staphylococcus equorum	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	2.0	6.0	0	0	0	0	0	1.0	0	2.0	0	1.0	1.0	0	0	0	4.0	1.0	2.0	0	0	0	3.0	4.0	0	0	7.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	4.0	15.0	0	0	0	0	0	12.0	1.0	0	0	0	0	2.0	0	2.0	0	2.0	0	0	0	1.0	1.0	1.0	2.0	0	2.0	0	0	2.0	1.0	0	0	1.0	0	0	0	1.0	2.0	1.0	0	0	0	0	4.0	0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	2.0	8.0	2.0	0	13.0	0	0	4.0	6.0	2.0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	2.0	1.0	0	1.0	1.0	0	1.0	0	1.0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	5.0	0	0	1.0	0	0	0	4.0	0	0	1.0	0	0	1.0	1.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	2.0	1.0	0	1.0	0	1.0	5.0	0	0	2.0	0	0	0	2.0	2.0	2.0	0	0	0	0	0	0	0	4.0	0	0	0	0	1.0	3.0	0	0	0	0	0	0	0	0	3.0	0	0	0	1.0	0	0	0	0	0	2.0	2.0	3.0	0	0	1.0	0	1.0	0	0	0	0	0	0	3.0	0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	1.0	3.0	0	0	1.0	0	0	0	0	2.0	1.0	0	0	0	0	0	0	1.0	0	0	12.0	0	0	0	5.0	0	0	7.0	3.0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	0	1.0	0
 s__Staphylococcus gallinarum	1.0	0	0	0	2.0	10.0	0	0	1.0	0	0	0	2.0	14.0	2.0	0	1.0	0	1.0	3.0	3.0	0	2.0	1.0	0	0	0	0	0	1.0	1.0	3.0	0	0	5.0	1.0	2.0	2.0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	3.0	0	0	1.0	0	0	5.0	0	0	0	0	0	0	0	4.0	0	1.0	0	0	1.0	1.0	2.0	0	17.0	23.0	5.0	2.0	0	0	0	0	0	0	0	0	0	0	3.0	0	4.0	0	0	2.0	3.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	6.0	5.0	0	10.0	0	0	3.0	4.0	0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	2.0	0	0	0	0	1.0	0	4.0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	0	0	0	0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	2.0	2.0	0	0	0	0	3.0	1.0	15.0	4.0	11.0	0	0	0	0	0	0	0	0	0	0	1.0	0	1.0	1.0	1.0	0	0	0	0	2.0	3.0	4.0	1.0	2.0	1.0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	1.0	1.0	2.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	1.0	0	0	1.0	0	0	1.0	0	0	1.0	2.0	3.0	1.0	0	0	1.0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	1.0	0	0	0	2.0	0	0	2.0	0	0	0	0	0	0	0	1.0	8.0	1.0	1.0	0	0	1.0	0	3.0	0	0	0	2.0	0	0	3.0	0	1.0	0	0	1.0	0	0	0	2.0	1.0	0	1.0	0	0	0
 s__Staphylococcus haemolyticus	4.0	6.0	4.0	8.0	5.0	11.0	4.0	7.0	19.0	0	4.0	6.0	21.0	4.0	33.0	9.0	46.0	3.0	29.0	9.0	12.0	14.0	14.0	7.0	7.0	4.0	8.0	9.0	7.0	32.0	10.0	7.0	14.0	2.0	453.0	34.0	9.0	4.0	9.0	42.0	0	4.0	18.0	13.0	23.0	32.0	146.0	6.0	37.0	1.0	6.0	4.0	19.0	5.0	4.0	0	13.0	18.0	55.0	4.0	1.0	1.0	7.0	5.0	66.0	7.0	9.0	9.0	0	7.0	17.0	10.0	3.0	1.0	11.0	3.0	3.0	20.0	7.0	5.0	5.0	10.0	1.0	10.0	1.0	9.0	11.0	3.0	7.0	1.0	33.0	4.0	2.0	1.0	3.0	31.0	1.0	5.0	1.0	1.0	2.0	65.0	4.0	13.0	4.0	3.0	8.0	5.0	5.0	53.0	2.0	3.0	6.0	13.0	1.0	1.0	6.0	24.0	31.0	3.0	138.0	2.0	70.0	41.0	46.0	5.0	14.0	9.0	6.0	16.0	8.0	34.0	3.0	3.0	5.0	12.0	9.0	3.0	0	3.0	3.0	7.0	6.0	4.0	1.0	1.0	6.0	2.0	3.0	9.0	3.0	4.0	2.0	9.0	3.0	6.0	5.0	1.0	44.0	3.0	2.0	11.0	5.0	1.0	6.0	6.0	7.0	6.0	10.0	28.0	6.0	16.0	7.0	7.0	2.0	4.0	11.0	3.0	5.0	2.0	0	0	5.0	2.0	4.0	30.0	7.0	1.0	11.0	14.0	18.0	4.0	7.0	6.0	0	4.0	2.0	16.0	16.0	11.0	4.0	1.0	15.0	6.0	0	2.0	1.0	0	0	0	0	3.0	0	11.0	2.0	14.0	0	6.0	67.0	4.0	41.0	125.0	2.0	71.0	1.0	47.0	4.0	1.0	0	11.0	18.0	30.0	8.0	9.0	0	12.0	2.0	0	10.0	34.0	6.0	3.0	4.0	2.0	24.0	7.0	0	1.0	5.0	10.0	0	0	5.0	10.0	3.0	4.0	2.0	2.0	3.0	2.0	3.0	3.0	1.0	2.0	2.0	7.0	9.0	63.0	7.0	3.0	31.0	1.0	6.0	26.0	5.0	1.0	1.0	0	17.0	2.0	7.0	5.0	9.0	21.0	3.0	4.0	2.0	16.0	6.0	7.0	2.0	5.0	8.0	14.0	2.0	4.0	40.0	11.0	7.0	3.0	67.0	17.0	21.0	2.0	8.0	8.0	1.0	1.0	2.0	14.0	3.0	1.0	90.0	1.0	1.0	14.0	58.0	7.0	0	100.0	5.0	15.0	1.0	4.0	26.0	41.0	6.0	1.0	24.0	17.0	0	11.0	0	6.0	3.0
 s__Staphylococcus hominis	91.0	119.0	99.0	30.0	39.0	20.0	34.0	118.0	533.0	20.0	24.0	40.0	70.0	41.0	24.0	9.0	211.0	11.0	38.0	31.0	27.0	14.0	47.0	14.0	51.0	71.0	47.0	34.0	32.0	52.0	42.0	116.0	36.0	61.0	55.0	21.0	30.0	6.0	8.0	3372.0	7.0	21.0	46.0	256.0	66.0	56.0	18.0	17.0	40.0	26.0	74.0	8.0	19.0	31.0	161.0	0	17.0	298.0	5304.0	23.0	10.0	45.0	29.0	28.0	6032.0	180.0	60.0	57.0	4.0	31.0	15.0	6.0	11.0	1.0	37.0	27.0	12.0	549.0	68.0	30.0	11.0	34.0	15.0	127.0	103.0	136.0	796.0	37.0	56.0	7.0	696.0	19.0	21.0	3.0	4.0	312.0	10.0	31.0	8.0	10.0	35.0	4673.0	15.0	437.0	5.0	28.0	183.0	76.0	47.0	28.0	34.0	39.0	23.0	36.0	34.0	42.0	160.0	2864.0	2255.0	244.0	7087.0	26.0	22.0	40.0	74.0	96.0	50.0	37.0	8.0	13.0	39.0	36.0	18.0	79.0	26.0	51.0	44.0	23.0	4.0	5.0	31.0	2.0	20.0	16.0	10.0	2.0	14.0	10.0	14.0	18.0	18.0	35.0	22.0	50.0	31.0	5.0	15.0	5.0	37.0	18.0	25.0	51.0	34.0	10.0	16.0	99.0	18.0	15.0	18.0	17.0	66.0	34.0	26.0	9.0	4.0	12.0	22.0	15.0	35.0	17.0	26.0	14.0	5.0	22.0	2.0	14.0	13.0	5.0	4.0	19.0	54.0	4.0	93.0	65.0	5.0	5.0	2.0	8.0	4.0	13.0	8.0	13.0	6.0	4.0	1.0	3.0	5.0	1.0	0	11.0	3.0	77.0	11.0	24.0	28.0	78.0	5.0	66.0	92.0	8.0	17.0	86.0	7.0	23.0	16.0	24.0	93.0	14.0	10.0	142.0	65.0	534.0	94.0	10.0	9.0	51.0	6.0	26.0	8.0	855.0	14.0	32.0	6.0	4.0	153.0	33.0	7.0	44.0	25.0	8.0	3.0	13.0	18.0	21.0	10.0	13.0	5.0	34.0	11.0	8.0	10.0	11.0	14.0	8.0	13.0	11.0	13.0	43.0	20.0	8.0	37.0	35.0	55.0	56.0	1.0	3.0	5.0	3.0	657.0	3.0	63.0	73.0	26.0	875.0	111.0	45.0	13.0	592.0	27.0	46.0	0	4.0	88.0	1607.0	9.0	1.0	173.0	70.0	33.0	9.0	36.0	61.0	39.0	3.0	55.0	49.0	7.0	10.0	4.0	53.0	31.0	4.0	3701.0	1.0	5.0	4.0	1665.0	22.0	10.0	2313.0	186.0	184.0	30.0	19.0	42.0	23.0	30.0	2.0	101.0	24.0	9.0	563.0	1.0	66.0	17.0
 s__Staphylococcus kloosii	0	0	0	1.0	1.0	0	1.0	0	1.0	0	0	0	2.0	17.0	3.0	2.0	1.0	0	0	1.0	2.0	0	0	0	0	0	0	0	1.0	2.0	0	18.0	0	0	1.0	0	1.0	0	0	1.0	0	0	0	1.0	0	4.0	0	0	0	0	5.0	0	1.0	0	1.0	0	0	8.0	4.0	0	0	0	0	0	6.0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	2.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	0	1.0	3.0	0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	2.0	1.0	0	3.0	0	0	4.0	2.0	1.0	1.0	0	0	0	0	1.0	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	2.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	2.0	0	1.0	0	0	0	2.0	4.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	4.0	1.0	0	1.0	0	0	1.0	1.0	0	0	1.0	0	0	1.0	0	0	0	1.0	0	2.0	0	0	0	0	0	0	0	0	0	0	0	0	2.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	3.0	1.0	0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	1.0	1.0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	1.0	2.0	2.0	0	0	2.0	0	1.0	0	1.0	1.0	0	8.0	0	0	0	2.0	0	0	1.0	1.0	0	0	1.0	1.0	1.0	1.0	0	1.0	1.0	0	1.0	0	0	0
 s__Staphylococcus lloydii	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	11.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0	0	0	1.0	1.0	1.0	1.0	0	2.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	2.0	0	0	2.0	5.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	3.0	1.0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	1.0	0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	2.0	0	0	0	0	0	3.0	0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	2.0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	1.0	0	0	0	0	0	0	2.0	0	0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0
